W,K,beta,delta_s,is_canonical,admissible,boundary,violation,compression_ratio,max_residual_norm_sq
4,2,0.3,0.02,False,10470,9912,162,0.4903621495327103,3510.4484291194285
4,2,0.3,0.05,False,10479,9903,162,0.4899240654205608,3510.4484291194285
4,2,0.3,0.1,False,10507,9866,171,0.4885611370716511,3510.4484291194285
4,2,0.4,0.02,False,14893,5479,172,0.2750681464174455,3510.4484291194285
4,2,0.4,0.05,False,14897,5475,172,0.27487344236760125,3510.4484291194285
4,2,0.4,0.1,False,14898,5474,172,0.2748247663551402,3510.4484291194285
4,2,0.5,0.02,False,17399,2978,167,0.15308605919003115,3510.4484291194285
4,2,0.5,0.05,False,17399,2978,167,0.15308605919003115,3510.4484291194285
4,2,0.5,0.1,False,17402,2975,167,0.15294003115264798,3510.4484291194285
4,2,0.6,0.02,False,19031,1364,149,0.07364680685358256,3510.4484291194285
4,2,0.6,0.05,False,19031,1364,149,0.07364680685358256,3510.4484291194285
4,2,0.6,0.1,False,19031,1364,149,0.07364680685358256,3510.4484291194285
4,2,0.7,0.02,False,19792,608,144,0.03660436137071651,3510.4484291194285
4,2,0.7,0.05,False,19792,608,144,0.03660436137071651,3510.4484291194285
4,2,0.7,0.1,False,19792,608,144,0.03660436137071651,3510.4484291194285
4,3,0.3,0.02,False,11418,8964,162,0.44421728971962615,3510.4484291194285
4,3,0.3,0.05,False,11433,8949,162,0.4434871495327103,3510.4484291194285
4,3,0.3,0.1,False,11472,8909,163,0.441588785046729,3510.4484291194285
4,3,0.4,0.02,False,15692,4680,172,0.23617601246105918,3510.4484291194285
4,3,0.4,0.05,False,15702,4670,172,0.2356892523364486,3510.4484291194285
4,3,0.4,0.1,False,15708,4664,172,0.23539719626168223,3510.4484291194285
4,3,0.5,0.02,False,17955,2422,167,0.12602219626168223,3510.4484291194285
4,3,0.5,0.05,False,17959,2418,167,0.125827492211838,3510.4484291194285
4,3,0.5,0.1,False,17963,2414,167,0.12563278816199377,3510.4484291194285
4,3,0.6,0.02,False,19348,1047,149,0.05821651090342679,3510.4484291194285
4,3,0.6,0.05,False,19348,1047,149,0.05821651090342679,3510.4484291194285
4,3,0.6,0.1,False,19348,1047,149,0.05821651090342679,3510.4484291194285
4,3,0.7,0.02,False,19970,430,144,0.027940031152647975,3510.4484291194285
4,3,0.7,0.05,False,19970,430,144,0.027940031152647975,3510.4484291194285
4,3,0.7,0.1,False,19970,430,144,0.027940031152647975,3510.4484291194285
4,4,0.3,0.02,False,11849,8533,162,0.42323792834890966,3510.4484291194285
4,4,0.3,0.05,False,11863,8519,162,0.4225564641744548,3510.4484291194285
4,4,0.3,0.1,False,11911,8470,163,0.420220015576324,3510.4484291194285
4,4,0.4,0.02,False,15966,4406,172,0.22283878504672897,3510.4484291194285
4,4,0.4,0.05,False,15977,4395,172,0.22230334890965733,3510.4484291194285
4,4,0.4,0.1,False,15987,4385,172,0.22181658878504673,3510.4484291194285
4,4,0.5,0.02,False,18078,2299,167,0.12003504672897196,3510.4484291194285
4,4,0.5,0.05,False,18085,2292,167,0.11969431464174454,3510.4484291194285
4,4,0.5,0.1,False,18089,2288,167,0.11949961059190031,3510.4484291194285
4,4,0.6,0.02,False,19397,998,149,0.05583138629283489,3510.4484291194285
4,4,0.6,0.05,False,19397,998,149,0.05583138629283489,3510.4484291194285
4,4,0.6,0.1,False,19397,998,149,0.05583138629283489,3510.4484291194285
4,4,0.7,0.02,False,19977,423,144,0.027599299065420562,3510.4484291194285
4,4,0.7,0.05,False,19977,423,144,0.027599299065420562,3510.4484291194285
4,4,0.7,0.1,False,19977,423,144,0.027599299065420562,3510.4484291194285
4,6,0.3,0.02,False,12173,8209,162,0.4074669003115265,3510.4484291194285
4,6,0.3,0.05,False,12193,8189,162,0.4064933800623053,3510.4484291194285
4,6,0.3,0.1,False,12241,8140,163,0.4041569314641745,3510.4484291194285
4,6,0.4,0.02,False,16093,4279,172,0.21665693146417445,3510.4484291194285
