query_id,iteration,est_rows,actual_rows,latency_ms,plan_hash
10c,1,14860,1153798,64.203,7e685bcc9edc
11a,1,0,1021,9.516,632bd70cc404
11b,1,69,46,7.729,205cd3ed49ed
11c,1,284,780776,47.945,6feb0d65dbeb
11d,1,284,3200479,151.779,6feb0d65dbeb
12a,1,4885,15849,12.245,b699bd12391d
12b,1,14860,1153798,21.440,cd5c763aa0ea
12c,1,4885,121571,15.214,b699bd12391d
13a,1,0,111101,12.566,42979f59602e
13b,1,14860,1153798,26.130,2c9867674c1c
13c,1,14860,1153798,22.940,2c9867674c1c
13d,1,0,670390,35.075,42979f59602e
14a,1,14835720,944600,21.787,e2aa25e14fb8
14b,1,14835720,406787,16.332,e2aa25e14fb8
14c,1,8,460150,34.458,a7016ff135a5
15a,1,2972,43837,26.066,4af322ef9151
15b,1,4,278,25.801,db33821289ea
15c,1,14860,1153657,39.040,0c996e607097
15d,1,14860,1153657,48.825,0c996e607097
16a,1,69,41838,26.545,1ae6b16c91d2
16b,1,2,3710592,148.357,1bbf0e60165a
16c,1,0,319932,43.231,1ae6b16c91d2
16d,1,0,249455,38.697,1ae6b16c91d2
17a,1,9,2832555,58.463,fdb785b0d2d2
17b,1,1632,7796926,75.900,fdb785b0d2d2
17c,1,1632,7796926,72.654,fdb785b0d2d2
17d,1,1632,7796926,76.760,b824dfd0f6e5
17e,1,11,2832555,58.727,cb3c4bd9b419
17f,1,1632,7796926,92.896,b824dfd0f6e5
18a,1,24425,459925,53.463,f402880b8e0a
18b,1,36244344,66565,37.333,10fa4f929d65
18c,1,36244344,2804962,52.814,d84f6643c5fd
19a,1,2972,542096,55.467,774febfee11f
19b,1,31,222685,35.105,c1de965f0291
19c,1,14860,1153798,69.798,774febfee11f
19d,1,13,1909379,94.751,71c112ec68f6
1a,1,24425,250,6.372,64c3cb5c5cae
1b,1,24425,10,5.314,782af87ac4ef
1c,1,24425,250,5.698,782af87ac4ef
1d,1,24425,10,6.360,782af87ac4ef
20a,1,680,978322,62.306,9beded19e35e
20b,1,680,294672,44.995,6deca1859ebe
20c,1,680,294672,49.009,9beded19e35e
21a,1,0,1410,11.945,364326e6a674
21b,1,0,1021,10.885,5b8c848f20df
21c,1,0,1874,11.340,364326e6a674
22a,1,4885,324111,40.316,22628c238668
22b,1,4885,324111,29.706,22628c238668
22c,1,0,2610972,85.081,9f9782fac0a5
22d,1,2,5536051,142.209,356d18420a0d
23a,1,14860,1153687,31.868,d493712afad6
23b,1,10503,1771,23.394,a6508a02c259
23c,1,14860,1153687,32.812,eca85b6472b8
24a,1,180,1261206,48.235,63bca30b3ac6
24b,1,0,244,20.120,a67bfab89bc9
25a,1,0,319480,50.722,6e5ce811e2fc
25b,1,0,30413,21.871,7707bacdc7df
25c,1,1260,2224786,84.436,7befa8624ba5
26a,1,134170,134044,45.942,8e7ccb84ddd4
26b,1,4885,15848,26.359,7250ee9d0519
26c,1,24425,459891,57.720,f950b747c0a3
27a,1,0,581,10.866,8791cc3970b6
27b,1,0,342,9.776,d29cb313cca0
27c,1,0,743,10.557,358b489cfd04
28a,1,0,738406,64.202,0e3d76c83dc6
28b,1,4885,194900,33.207,2013ba8fb9ee
28c,1,0,1151351,61.872,0e3d76c83dc6
29a,1,0,4890,32.182,6094e36b7f22
