queryId,warehouseId,databaseId,createdTime,endTime,durationTotal,durationExec,durationControlPlane,durationCompiling,compilationTime,scheduleTime,serverCount,execTime,warehouseSize,perServerCores,persistentReadBytesS3,persistentReadRequestsS3,persistentReadBytesCache,persistentReadRequestsCache,persistentWriteBytesCache,persistentWriteRequestsCache,persistentWriteBytesS3,persistentWriteRequestsS3,intDataWriteBytesLocalSSD,intDataWriteRequestsLocalSSD,intDataReadBytesLocalSSD,intDataReadRequestsLocalSSD,intDataWriteBytesS3,intDataWriteRequestsS3,intDataReadBytesS3,intDataReadRequestsS3,intDataWriteBytesUncompressed,ioRemoteExternalReadBytes,ioRemoteExternalReadRequests,intDataNetReceivedBytes,intDataNetSentBytes,intDataNetSentRequests,intDataNetSentBytesUncompressed,producedRows,returnedRows,fileStolenCount,remoteSeqScanFileOps,localSeqScanFileOps,localWriteFileOps,remoteSkipScanFileOps,remoteWriteFileOps,filesCreated,scanAssignedBytes,scanAssignedFiles,scanBytes,scanFiles,scanOriginalFiles,userCpuTime,systemCpuTime,profIdle,profCpu,profPersistentReadCache,profPersistentWriteCache,profPersistentReadS3,profPersistentWriteS3,profIntDataReadLocalSSD,profIntDataWriteLocalSSD,profIntDataReadS3,profIntDataWriteS3,profRemoteExtRead,profRemoteExtWrite,profResWriteS3,profFsMeta,profDataExchangeNet,profDataExchangeMsg,profControlPlaneMsg,profOs,profMutex,profSetup,profSetupMesh,profTeardown,profScanRso,profXtScanRso,profProjRso,profSortRso,profFilterRso,profResRso,profDmlRso,profHjRso,profBufRso,profFlatRso,profBloomRso,profAggRso,profBandRso,profPercentileRso,profUdtfRso,memoryUsed
5057238095050218465,7891774171123969424,7097937327349925659,2018-03-02 14:35:34.284000+00:00,2018-03-02 14:36:19.595000+00:00,45311,4025,413,141,141,56,2,4025,2,8,0,0,0,0,3660800,5,3660800,2,0,0,0,0,0,0,0,0,0,3851728,10,44077,44077,24,55326,20986,1,0,10,0,2,0,2,2,3851728,10,3851728,10,0,3350000,330000,5704,1315,0,0,0,49,0,0,0,0,682,0,0,0,0,12,24,0,74,0,0,0,0,2259,0,0,0,0,3890,0,0,0,0,0,0,0,0,518144752
2661928749030202505,7891774171123969424,7097937327349925659,2018-03-02 14:37:06.438000+00:00,2018-03-02 14:37:26.380000+00:00,19942,1795,321,1779,1779,59,2,1795,2,8,79872,10,159744,9,293888,22,214016,12,0,0,0,0,0,0,0,0,0,0,0,71961,71961,119,163706,822,1,0,0,0,22,10,12,12,239616,17,239616,17,55,220000,150000,2468,1667,0,0,247,172,0,0,0,0,0,0,0,0,0,0,24,0,0,110,0,0,1954,0,0,0,0,0,1229,0,0,0,0,0,0,0,0,351530656
46098674536857620,7891774171123969424,7097937327349925659,2018-03-02 14:36:31.287000+00:00,2018-03-02 14:37:05.683000+00:00,34396,3619,925,95,95,63,2,3619,2,8,0,0,0,0,3763712,4,3763712,2,0,0,0,0,0,0,0,0,0,3967617,21,41115,41115,20,54150,21179,1,0,21,0,2,0,2,2,3967617,21,3967617,21,0,3440000,300000,4362,1485,0,0,0,48,0,0,0,0,1050,0,0,0,0,49,36,0,161,0,0,0,0,1925,0,0,0,0,4621,0,0,0,0,0,0,0,0,417739040
4152799755043558517,7891774171123969424,7097937327349925659,2018-03-02 14:36:10.290000+00:00,2018-03-02 14:36:54.228000+00:00,43938,11640,569,198,198,97,2,11640,2,8,0,0,0,0,4246528,5,4246528,2,0,0,0,0,0,0,0,0,0,4267804,10,45801,45801,28,56502,12134,1,0,10,0,2,0,2,2,4267804,10,4267804,10,0,4600000,410000,19479,3680,0,0,0,471,0,0,0,0,740,0,0,0,0,12,36,0,37,0,0,0,0,3899,0,0,0,0,10531,0,0,0,0,99,0,0,0,1003226128
1028762543953962012,7891774171123969424,7097937327349925659,2018-03-02 14:35:28.881000+00:00,2018-03-02 14:36:14.324000+00:00,45443,2498,418,1761,1761,44,2,2498,2,8,1157120,10,1553920,12,3824448,26,2667008,13,0,0,0,0,0,0,0,0,0,0,0,78041,78041,133,135642,11070,1,0,0,0,21,10,13,13,2711040,18,2711040,18,27,1060000,260000,3776,1356,0,0,86,86,0,0,0,0,0,0,0,0,0,0,74,0,0,113,0,0,1032,0,0,0,0,0,2580,0,0,0,0,0,0,0,0,558859219
1838215198542822679,7891774171123969424,7097937327349925659,2018-03-02 14:40:40.504000+00:00,2018-03-02 14:41:13.451000+00:00,32947,1212,232,2369,2369,41,2,1212,2,8,2934272,12,1901056,23,7653504,33,4718592,16,0,0,0,0,0,0,0,0,0,0,0,262336,262336,214,1012226,92809,1,0,0,0,24,12,16,16,5016576,20,5016576,20,1200,690000,290000,743,1027,0,0,98,123,0,0,0,0,0,0,0,0,0,754,640,0,12,198,0,0,834,0,24,0,0,0,924,0,0,0,0,0,0,0,0,460314496
2135614272127505183,7891774171123969424,7097937327349925659,2018-03-02 14:37:06.485000+00:00,2018-03-02 14:37:31.511000+00:00,25026,5634,454,1882,1882,94,2,5634,2,8,11698176,22,7283520,33,29957344,61,18257408,16,0,0,0,0,0,0,0,0,0,0,0,7307401,7307401,1519,21958916,143534,1,0,0,0,27,22,16,16,24764928,19,24764928,19,223540,11140000,1210000,5551,23816,0,0,123,445,0,0,0,0,0,0,0,0,0,2911,36,0,0,0,110035,0,8177,0,148,132,0,0,17476,0,0,0,0,0,0,0,0,2289801456
937552003752903968,7891774171123969424,7097937327349925659,2018-03-02 14:37:21.926000+00:00,2018-03-02 14:37:31.161000+00:00,9235,2328,324,71,71,23,2,2328,2,8,0,0,0,0,13899776,18,13899776,10,0,0,0,0,0,0,0,0,0,15408501,13,43262,43262,22,54738,78600,1,0,12,0,10,0,10,10,15408501,12,15408501,12,0,8490000,380000,2184,2008,0,0,0,222,0,0,0,0,452,0,0,0,0,99,24,0,73,0,0,0,0,2029,0,0,0,0,2442,0,0,0,0,0,0,0,0,602519760
4570308664206595783,7891774171123969424,7097937327349925659,2018-03-02 14:37:09.501000+00:00,2018-03-02 14:37:30.482000+00:00,20981,3373,201,1534,1534,43,2,3373,2,8,4960256,18,5366944,26,14920096,47,9958400,16,0,0,0,0,0,0,0,0,0,0,0,1682978,1682978,485,5581010,109963,1,0,0,0,25,18,16,16,12275712,20,12275712,20,7391,3110000,420000,4552,5297,0,0,334,322,0,0,0,0,0,0,0,0,0,1155,0,0,12,0,0,0,2381,0,47,24,0,0,4811,0,0,0,0,0,0,0,0,791046416
8420790461034245826,7891774171123969424,7097937327349925659,2018-03-02 14:35:38.427000+00:00,2018-03-02 14:36:24.170000+00:00,45590,3230,477,88,88,117,2,3230,2,8,0,0,0,0,5203968,6,5203968,2,0,0,0,0,0,0,0,0,0,6454070,24,42673,42673,22,54738,31509,1,1,24,0,2,0,2,2,6454070,24,6454070,24,0,6120000,450000,4153,1857,0,0,0,86,0,0,0,0,742,0,0,0,0,12,166,0,160,0,0,0,0,2169,0,0,0,0,4274,0,0,0,0,0,0,0,0,625181712
7769363961129483480,7891774171123969424,7097937327349925659,2018-03-02 14:36:23.398000+00:00,2018-03-02 14:36:58.694000+00:00,35296,2969,195,2060,2060,81,2,2969,2,8,1981952,12,323072,19,4221056,32,2238464,16,0,0,0,0,0,0,0,0,0,0,0,120418,120418,167,338718,6005,1,0,0,0,24,12,16,16,2324992,20,2324992,20,3229,890000,400000,4411,2373,0,0,61,359,0,0,0,0,0,0,0,0,0,37,24,0,0,0,0,0,1019,0,33,66,0,0,3831,0,0,0,0,0,0,0,0,907476279
2934298436519844649,7891774171123969424,7097937327349925659,2018-03-02 14:34:41.445000+00:00,2018-03-02 14:35:42.743000+00:00,61298,4053,431,78,78,52,2,4053,2,8,0,0,0,0,6523392,9,6523392,4,0,0,0,0,0,0,0,0,0,4959273,14,41291,41291,20,54150,48239,1,0,14,0,4,0,4,4,4959273,14,4959273,14,0,7400000,420000,5656,1449,0,0,0,135,0,0,0,0,532,0,0,0,0,12,0,0,123,0,0,0,0,1708,0,0,0,0,4467,0,0,0,0,0,0,0,0,774220304
6572430693262237854,7891774171123969424,7097937327349925659,2018-03-02 14:34:43.676000+00:00,2018-03-02 14:35:46.882000+00:00,63206,7924,494,78,78,43,2,7924,2,8,0,0,0,0,16750080,20,16750080,9,0,0,0,0,0,0,0,0,0,16482968,12,38578,38578,20,54150,48005,1,0,12,0,9,0,9,9,16482968,12,16482968,12,0,11470000,580000,12266,3050,0,0,0,495,0,0,0,0,553,0,0,0,0,0,24,0,86,0,0,0,0,3468,0,0,0,99,8185,0,0,0,0,0,0,0,0,1143231792
