t,phi_true,phi_mean,phi_freqonly,phi_dsfb,err_mean,err_freqonly,err_dsfb,w2,s2
0.540000,0.265283,0.271022,0.283175,0.288026,0.005739,0.017892,0.022743,0.505212,0.046481
0.550000,0.270052,0.258394,0.271053,0.276951,0.011659,0.001001,0.006899,0.510561,0.048240
0.560000,0.274816,0.250823,0.261194,0.266901,0.023993,0.013622,0.007915,0.515259,0.045969
0.570000,0.279574,0.337851,0.299768,0.304759,0.058277,0.020194,0.025185,0.515474,0.046651
0.580000,0.284325,0.355441,0.327888,0.332658,0.071116,0.043563,0.048333,0.514221,0.046754
0.590000,0.289071,0.293850,0.311180,0.316906,0.004780,0.022110,0.027835,0.520755,0.044908
0.600000,0.293811,0.343515,0.327641,0.332989,0.049704,0.033831,0.039178,0.517393,0.044495
0.610000,0.298546,0.261066,0.294663,0.300011,0.037480,0.003882,0.001466,0.520127,0.044986
0.620000,0.303276,0.332460,0.313838,0.318776,0.029184,0.010562,0.015500,0.518819,0.044245
0.630000,0.308002,0.341746,0.328087,0.333557,0.033744,0.020085,0.025555,0.514865,0.045597
0.640000,0.312723,0.384888,0.356796,0.361879,0.072166,0.044073,0.049156,0.512185,0.046218
0.650000,0.317438,0.336408,0.346939,0.351691,0.018970,0.029501,0.034253,0.511807,0.045388
0.660000,0.322149,0.396083,0.371837,0.376641,0.073934,0.049688,0.054492,0.504608,0.047617
0.670000,0.326857,0.355425,0.363981,0.368869,0.028568,0.037124,0.042012,0.508837,0.045585
0.680000,0.331560,0.364065,0.364365,0.369085,0.032505,0.032805,0.037525,0.510034,0.043352
0.690000,0.336257,0.320825,0.342936,0.349203,0.015431,0.006680,0.012946,0.518343,0.043219
0.700000,0.340948,0.367045,0.355310,0.360859,0.026096,0.014361,0.019910,0.515439,0.042466
0.710000,0.345634,0.420377,0.388174,0.393388,0.074742,0.042540,0.047754,0.510227,0.044366
0.720000,0.350316,0.314012,0.351456,0.356749,0.036304,0.001141,0.006433,0.515260,0.044679
0.730000,0.354994,0.422753,0.387430,0.392471,0.067759,0.032437,0.037477,0.510949,0.046542
0.740000,0.359669,0.419726,0.403939,0.408220,0.060057,0.044271,0.048552,0.514210,0.044513
0.750000,0.364341,0.409571,0.407132,0.411397,0.045229,0.042790,0.047055,0.513308,0.042590
0.760000,0.369013,0.401027,0.404459,0.409574,0.032014,0.035446,0.040561,0.515234,0.042415
0.770000,0.373683,0.397606,0.401408,0.407088,0.023922,0.027725,0.033404,0.517313,0.042258
0.780000,0.378352,0.423946,0.413049,0.418627,0.045594,0.034697,0.040274,0.514473,0.042786
0.790000,0.383020,0.458478,0.436147,0.441181,0.075459,0.053127,0.058162,0.512343,0.042816
0.800000,0.387684,0.439459,0.438208,0.443599,0.051775,0.050524,0.055915,0.512839,0.043211
0.810000,0.392344,0.433080,0.436051,0.441620,0.040736,0.043707,0.049275,0.514834,0.042773
0.820000,0.397002,0.457505,0.447181,0.451381,0.060503,0.050179,0.054380,0.515945,0.042324
0.830000,0.401658,0.403183,0.425596,0.431096,0.001525,0.023938,0.029438,0.524111,0.040221
0.840000,0.406313,0.510562,0.468470,0.474071,0.104249,0.062158,0.067758,0.513747,0.044593
0.850000,0.410965,0.437496,0.453417,0.459462,0.026531,0.042452,0.048497,0.520014,0.043105
0.860000,0.415616,0.467436,0.460844,0.467536,0.051820,0.045228,0.051920,0.518302,0.045353
0.870000,0.420264,0.481963,0.471828,0.477593,0.061699,0.051564,0.057330,0.516002,0.044531
0.880000,0.424910,0.550108,0.511402,0.516696,0.125198,0.086492,0.091786,0.509932,0.047232
0.890000,0.429552,0.480366,0.496357,0.500983,0.050814,0.066805,0.071432,0.506357,0.047874
0.900000,0.434189,0.525552,0.511411,0.515975,0.091363,0.077223,0.081787,0.502783,0.049295
0.910000,0.438820,0.462998,0.487676,0.492840,0.024178,0.048856,0.054020,0.512259,0.047162
0.920000,0.443445,0.481132,0.484851,0.489723,0.037687,0.041406,0.046278,0.514203,0.044919
0.930000,0.448062,0.545155,0.515446,0.520224,0.097093,0.067384,0.072162,0.505443,0.047593
0.940000,0.452672,0.520426,0.518408,0.522875,0.067754,0.065737,0.070204,0.505291,0.045446
0.950000,0.457274,0.435221,0.477289,0.483039,0.022053,0.020015,0.025765,0.518224,0.043848
0.960000,0.461870,0.501530,0.489842,0.496082,0.039660,0.027972,0.034212,0.514865,0.046687
0.970000,0.466460,0.455053,0.472892,0.480866,0.011407,0.006432,0.014406,0.521173,0.048637
0.980000,0.471044,0.564800,0.519272,0.526078,0.093756,0.048228,0.055033,0.507283,0.055338
0.990000,0.475624,0.543089,0.531653,0.537421,0.067465,0.056029,0.061797,0.505017,0.056236
1.000000,0.480200,0.522126,0.527373,0.532598,0.041926,0.047173,0.052398,0.508049,0.054199
1.010000,0.484771,0.566238,0.547284,0.552149,0.081468,0.062513,0.067378,0.503076,0.056245
1.020000,0.489338,0.546785,0.547531,0.552026,0.057447,0.058193,0.062688,0.503754,0.053711
1.030000,0.493901,0.544223,0.546374,0.550917,0.050322,0.052472,0.057016,0.505662,0.052654
1.040000,0.498460,0.584414,0.565888,0.570223,0.085954,0.067428,0.071763,0.500779,0.053225
1.050000,0.503017,0.544191,0.555552,0.559940,0.041174,0.052535,0.056922,0.505850,0.050626
1.060000,0.507573,0.467183,0.511869,0.516414,0.040390,0.004296,0.008842,0.510482,0.051436
1.070000,0.512123,0.554688,0.533735,0.538292,0.042565,0.021612,0.026169,0.504569,0.053387
1.080000,0.516668,0.575689,0.555190,0.559435,0.059021,0.038521,0.042767,0.499109,0.055261
1.090000,0.521208,0.627597,0.591891,0.595194,0.106388,0.070683,0.073986,0.489044,0.059464
1.100000,0.525743,0.640165,0.616562,0.619184,0.114422,0.090819,0.093441,0.483234,0.061584
1.110000,0.530273,0.607382,0.612529,0.614276,0.077109,0.082256,0.084002,0.487047,0.063717
1.120000,0.534802,0.543424,0.578529,0.581364,0.008622,0.043727,0.046562,0.499599,0.061540
1.130000,0.539325,0.520736,0.550149,0.554556,0.018590,0.010824,0.015230,0.509665,0.060310
1.140000,0.543845,0.566505,0.558815,0.563639,0.022660,0.014970,0.019794,0.508079,0.061522
1.150000,0.548360,0.560789,0.560297,0.564949,0.012429,0.011937,0.016589,0.508966,0.059438
1.160000,0.552871,0.583497,0.572393,0.576954,0.030626,0.019522,0.024083,0.506474,0.059059
1.170000,0.557379,0.657082,0.615245,0.618880,0.099703,0.057865,0.061500,0.494584,0.065666
1.180000,0.561884,0.630990,0.623666,0.627384,0.069106,0.061782,0.065500,0.493679,0.063351
1.190000,0.566385,0.598856,0.611817,0.615608,0.032470,0.045432,0.049223,0.495386,0.061401
1.200000,0.570882,0.604830,0.608867,0.612570,0.033948,0.037985,0.041688,0.498103,0.061840
1.210000,0.575373,0.685708,0.647826,0.650171,0.110335,0.072453,0.074798,0.487860,0.068222
1.220000,0.579862,0.586064,0.617522,0.620560,0.006202,0.037660,0.040698,0.498564,0.064954
1.230000,0.584347,0.626544,0.622579,0.625887,0.042197,0.038231,0.041539,0.498510,0.067429
1.240000,0.588828,0.700615,0.662147,0.665539,0.111787,0.073318,0.076711,0.493568,0.069220
1.250000,0.593306,0.632741,0.648032,0.651661,0.039435,0.054726,0.058355,0.499526,0.065768
1.260000,0.597779,0.551849,0.600513,0.604884,0.045930,0.002734,0.007105,0.509316,0.064451
1.270000,0.602249,0.718394,0.659978,0.664027,0.116145,0.057728,0.061778,0.498816,0.070025
1.280000,0.606714,0.703979,0.682561,0.686512,0.097264,0.075846,0.079798,0.497936,0.068580
1.290000,0.611176,0.675006,0.679387,0.683401,0.063830,0.068212,0.072226,0.495510,0.067127
1.300000,0.615633,0.711870,0.696228,0.699369,0.096237,0.080595,0.083736,0.492290,0.070115
1.310000,0.620085,0.681306,0.689382,0.692683,0.061222,0.069297,0.072598,0.496110,0.067982
1.320000,0.624532,0.644865,0.667731,0.671296,0.020333,0.043198,0.046764,0.499618,0.066122
1.330000,0.628974,0.754972,0.711936,0.714317,0.125998,0.082962,0.085344,0.487947,0.072228
1.340000,0.633409,0.718245,0.715717,0.718201,0.084836,0.082308,0.084792,0.488678,0.071308
1.350000,0.637840,0.736747,0.726862,0.728416,0.098907,0.089022,0.090576,0.487459,0.074789
1.360000,0.642265,0.714676,0.721409,0.723534,0.072411,0.079144,0.081269,0.490821,0.073150
1.370000,0.646684,0.666776,0.694725,0.697728,0.020092,0.048041,0.051044,0.500368,0.071469
