step_idx,depth_m,observed_tqa_knm,baseline_tqa_knm,swob_kn,rpm,hkld_kn,sppa_kpa,residual_knm,drift_knm,slew_knm,token,r_norm,delta_norm,sigma_norm
338,1369.00,10.710962,10.582159,27.7124,59.44,1193.6803,19338.6221,0.128803,-0.170494,-0.521990,Nominal,0.016100,-0.056831,-0.026099
339,1369.50,9.083980,10.582159,23.7090,59.55,1205.6905,19413.1544,-1.498179,-0.475553,-3.253963,Nominal,-0.187272,-0.158518,-0.162698
340,1370.00,6.182530,10.582159,0.7340,59.59,1224.7956,19388.6780,-4.399629,-0.552835,-5.802901,Nominal,-0.549954,-0.184278,-0.290145
341,1370.50,8.555211,10.582159,37.7654,59.09,1195.2371,19320.6957,-2.026948,-0.607067,4.745363,Nominal,-0.253368,-0.202356,0.237268
342,1371.00,9.978820,10.582159,20.1504,59.57,1204.8008,19197.6933,-0.603339,-0.619270,2.847218,Nominal,-0.075417,-0.206423,0.142361
343,1371.50,10.453356,10.582159,23.3532,59.52,1203.3774,19193.6254,-0.128803,-0.720956,0.949073,Nominal,-0.016100,-0.240319,0.047454
344,1372.00,11.307522,10.585549,27.8236,59.40,1197.2833,19100.1324,0.721973,-0.735531,1.701552,Nominal,0.090247,-0.245177,0.085078
345,1372.50,7.158719,10.585549,-3.3362,59.74,1227.3533,19128.4699,-3.426830,-1.083637,-8.297606,Nominal,-0.428354,-0.361212,-0.414880
346,1373.00,6.914672,10.585549,-3.9144,59.73,1228.5098,19142.2594,-3.670877,-1.451403,-0.488094,Nominal,-0.458860,-0.483801,-0.024405
347,1373.50,6.555380,10.585549,-2.9358,59.58,1228.4209,19108.8198,-4.030169,-1.893400,-0.718584,Nominal,-0.503771,-0.631133,-0.035929
