depth_m,well,TQA,SWOB,RPM,HKLD,SPPA,baseline_TQA,baseline_SWOB,baseline_RPM,baseline_HKLD,baseline_SPPA
1200.0,Equinor-Volve-15/9-F-15,0.013558179483314,12.855360468102843,0.0,1149.3759831671605,236.765965447402,0.013558179483314,12.855360468102843,0.0,1149.3759831671605,236.765965447402
1200.5,Equinor-Volve-15/9-F-15,0.013558179483314,12.632949387339819,0.0,1149.5983942479236,236.765965447402,0.013558179483314,12.74415492772133,0.0,1149.487188707542,236.765965447402
1201.0,Equinor-Volve-15/9-F-15,0.013558179483314,12.076921685432257,0.0,1150.1099397336784,236.765965447402,0.013558179483314,12.632949387339819,0.0,1149.5983942479236,236.765965447402
1201.5,Equinor-Volve-15/9-F-15,0.013558179483314,12.988807116560658,0.0,1149.7318408963813,213.875371234083,0.013558179483314,12.74415492772133,0.0,1149.6651175721524,236.765965447402
1202.0,Equinor-Volve-15/9-F-15,0.013558179483314,13.389147061934104,0.0,1148.975643221787,213.875371234083,0.013558179483314,12.855360468102843,0.0,1149.5983942479236,236.765965447402
1202.5,Equinor-Volve-15/9-F-15,0.013558179483314,14.523443573825531,0.0,1148.019275574506,213.875371234083,0.013558179483314,12.922083792331751,0.0,1149.487188707542,225.3206683407425
1203.0,Equinor-Volve-15/9-F-15,0.013558179483314,18.23770862256805,0.0,1144.8387971195948,215.323270265648,0.013558179483314,12.988807116560658,0.0,1149.3759831671605,215.323270265648
1203.5,Equinor-Volve-15/9-F-15,0.189814512766396,19.750103971756616,0.0,1143.90467058039,224.493297465562,0.013558179483314,13.18897708924738,0.0,1149.175813194474,219.908283865605
1204.0,Equinor-Volve-15/9-F-15,0.189814512766396,17.926333109499815,0.0,1143.459848418864,220.632233381388,0.013558179483314,13.389147061934104,0.0,1148.975643221787,220.632233381388
1204.5,Equinor-Volve-15/9-F-15,0.20337269224971,18.815977432551914,0.0,1143.0817495815668,222.218027558816,0.013558179483314,13.956295317879817,0.0,1148.4974593981465,221.425130470102
1205.0,Equinor-Volve-15/9-F-15,0.244047230699652,19.794586187909225,0.0,1143.1039906896433,216.357483859623,0.013558179483314,14.523443573825531,0.0,1148.019275574506,220.632233381388
1205.5,Equinor-Volve-15/9-F-15,0.325396307599536,24.242807803169725,0.0,1149.5539120317708,241.730190698483,0.013558179483314,16.224888341662673,0.0,1148.4974593981465,221.425130470102
